time,buy_usd,sell_usd
2025-05-05 17:29:30,69922.301015,24496.45965
2025-05-05 17:30:00,45394.203578,135882.642261
2025-05-05 17:30:30,23381.95507,16985.370187
2025-05-05 17:31:00,136145.189924,39627.146039
2025-05-05 17:31:30,8261.061608,57416.794115
2025-05-05 17:32:00,27842.946145,69799.05032
2025-05-05 17:32:30,102252.378199,88835.692975
2025-05-05 17:33:00,96923.41067,40235.378772
2025-05-05 17:33:30,10847.696136,21578.657314
2025-05-05 17:34:00,38470.571641,102040.150212
2025-05-05 17:34:30,37429.115039,12287.788618
2025-05-05 17:35:00,51154.784013,163194.572353
2025-05-05 17:35:30,115498.014888,68010.442918
2025-05-05 17:48:00,37072.88169,15504.101529
2025-05-05 17:48:30,85592.522865,140449.546259
2025-05-05 17:49:00,120434.866088,80767.289945
2025-05-05 17:49:30,124882.716545,68072.618668
2025-05-05 17:50:00,51924.084766,125700.082002
2025-05-05 17:50:30,34244.686539,53672.27978
2025-05-05 17:51:00,86263.38482,109285.057184
2025-05-05 17:51:30,36158.944974,137681.509298
2025-05-05 17:52:00,85394.764313,47446.179504
2025-05-05 17:52:30,33613.062591,36306.371257
2025-05-05 17:53:00,247116.550952,144041.694606
2025-05-05 17:53:30,65004.032622,12864.865027
2025-05-05 17:54:00,139769.441941,83815.872198
2025-05-05 17:54:30,25146.001517,68433.775919
2025-05-05 17:55:00,62760.575328,69741.555688
2025-05-05 17:58:30,13887.854635,37721.167093
2025-05-05 17:59:00,23805.726321,21029.710262
2025-05-05 17:59:30,50689.214337,60870.477477
2025-05-05 18:00:00,103272.70792,150996.586753
2025-05-05 18:01:00,245802.027759,145253.514511
2025-05-05 18:01:30,34934.182264,81270.104841
2025-05-05 18:02:00,100622.882133,62506.949655
2025-05-05 18:02:30,108952.643473,172576.071053
2025-05-05 18:03:00,83184.623058,58283.728164
2025-05-05 18:03:30,97786.443451,113871.023569
2025-05-05 18:04:00,153661.539404,135476.301647
2025-05-05 18:04:30,109724.710779,197206.278675
2025-05-05 18:05:00,74604.686417,55146.156556
2025-05-05 18:05:30,52001.390199,75710.983755
2025-05-05 18:06:00,147157.821688,158933.259358
2025-05-05 18:06:30,127906.505444,90329.909522
2025-05-05 18:07:00,74688.736198,112442.452347
2025-05-05 18:07:30,20174.978281,74160.482089
2025-05-05 18:08:00,71761.490614,66967.706107
2025-05-05 18:08:30,153095.445299,65511.893468
2025-05-05 18:09:00,173958.603799,117885.498715
2025-05-05 18:09:30,20317.896399,28845.889016
2025-05-05 18:10:00,16218.440415,78896.784852
2025-05-05 18:10:30,144636.564259,59708.782743
2025-05-05 18:11:00,203671.91696,151127.718843
2025-05-05 18:11:30,157333.851366,131775.521924
2025-05-05 18:12:00,44560.602486,62485.500791
2025-05-05 18:12:30,124456.555185,48285.718595
2025-05-05 18:13:00,81167.340922,105058.788284
2025-05-05 18:13:30,53212.530881,74641.046446
2025-05-05 18:14:00,51667.535644,58317.627976
2025-05-05 18:14:30,45549.206237,119805.157758
2025-05-05 18:15:00,128143.005115,89745.459102
2025-05-05 18:15:30,118911.749542,236800.632036
2025-05-05 18:16:00,148137.097017,93092.235545
2025-05-05 18:16:30,89179.175067,155543.488864
2025-05-05 18:17:00,97297.899739,48550.825992
2025-05-05 18:17:30,122369.189139,85880.479808
2025-05-05 18:18:00,185105.331956,103507.506093
2025-05-05 18:18:30,139338.493862,109052.517485
2025-05-06 12:18:30,40342.742805,2377.642634
2025-05-06 12:19:00,132487.018066,160021.497782
2025-05-06 12:19:30,58488.585709,85962.448144
2025-05-06 12:20:00,118615.586418,154302.335203
2025-05-06 13:00:00,63284.071871,88989.006482
2025-05-06 13:00:30,71554.896057,120735.446527
2025-05-06 13:01:00,63450.269452,197694.781845
2025-05-06 13:01:30,31825.888763,142409.655246
2025-05-06 13:02:00,53289.551189,36339.133013
2025-05-06 13:02:30,90581.398167,120242.412122
2025-05-06 13:03:00,165989.794492,71932.53693
2025-05-06 13:03:30,37144.794374,58676.11437
2025-05-06 14:17:30,121554.181579,80019.242089
2025-05-06 14:18:00,95965.271364,109098.906653
2025-05-06 14:18:30,33906.299507,19581.929767
2025-05-06 14:19:00,125071.869743,42203.44351
2025-05-06 14:19:30,54971.05603,9101.802161
2025-05-06 14:20:30,1579.101677,2247.943901
2025-05-06 14:23:00,15060.760661,23682.933923
2025-05-06 14:23:30,7343.416725,167195.761106
2025-05-06 14:24:00,52629.04082,50295.888726
2025-05-06 14:24:30,140923.164759,80518.600124
2025-05-06 14:25:00,67514.168758,72455.200478
2025-05-06 14:25:30,177.14624,113.3696
2025-05-06 14:26:00,180285.240287,60899.400172
2025-05-06 14:27:00,18200.104655,41966.534825
2025-05-06 14:27:30,41407.284717,42130.338503
2025-05-06 14:28:00,55640.948082,26028.447972
2025-05-06 14:28:30,75488.669015,102736.650579
2025-05-06 14:29:00,222724.575143,270050.507578
2025-05-06 14:29:30,135970.232053,266815.901582
2025-05-06 14:30:00,28412.154177,106584.652813
2025-05-06 14:30:30,111068.684533,218467.923839
2025-05-06 14:31:00,47075.399252,122765.207431
2025-05-06 14:31:30,134015.863892,182873.101717
2025-05-06 14:32:00,51998.056526,85352.318781
2025-05-06 14:32:30,174272.293822,62349.714516
2025-05-06 14:33:00,179879.804341,65263.18049
2025-05-06 14:33:30,83339.13214,132508.925851
2025-05-06 14:34:00,118685.172885,42447.273202
2025-05-06 14:34:30,65103.183741,132795.452211
2025-05-06 14:35:00,153289.52335,101930.600244
2025-05-06 14:35:30,152355.209778,207233.360584
2025-05-06 14:36:00,159108.968881,87130.595871
2025-05-06 14:36:30,171358.576754,139393.660607
2025-05-06 14:37:00,83510.860749,237593.656059
2025-05-06 14:37:30,75660.456284,68461.585235
2025-05-06 14:38:00,39282.554403,62534.99593
2025-05-06 14:38:30,122688.562407,148813.811331
2025-05-06 14:39:00,86700.992231,77633.692921
